year,geography,area_fips,area_title,industry_code,industry_title,own_code,own_title,agglvl_code,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,annual_avg_wkly_wage,avg_annual_pay
2022,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,1,Federal Government,16,,6,1153,75959958,1267,65880
2023,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,1,Federal Government,16,,6,1248,85476052,1317,68486
2024,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,1,Federal Government,16,,6,1236,92107633,1433,74521
2025,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,1,Federal Government,16,,4,1016,82546776,1562,81240
2001,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,0,0,0,0,0
2002,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,0,0,0,0,0
2003,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,0,0,0,0,0
2004,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,2,0,0,0,0
2005,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,2,0,0,0,0
2006,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,2,0,0,0,0
2007,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,2,0,0,0,0
2008,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,2,0,0,0,0
2009,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,2,0,0,0,0
2010,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,2,0,0,0,0
2011,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,2,0,0,0,0
2012,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,2,0,0,0,0
2013,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,2,0,0,0,0
2014,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,2,0,0,0,0
2015,US_national,US000,U.S. TOTAL,7111,Performing arts companies,2,State Government,16,N,1,0,0,0,0
2016,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,2,State Government,16,N,1,0,0,0,0
2017,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,2,State Government,16,N,1,0,0,0,0
2018,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,2,State Government,16,N,1,0,0,0,0
2019,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,2,State Government,16,N,1,0,0,0,0
2020,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,2,State Government,16,N,1,0,0,0,0
2021,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,2,State Government,16,N,1,0,0,0,0
2022,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,2,State Government,16,,1,141,6967864,948,49301
2023,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,2,State Government,16,,1,152,8107372,1025,53309
2024,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,2,State Government,16,,1,154,9059129,1132,58889
2025,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,2,State Government,16,,1,149,9486190,1226,63737
2001,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,,15,626,11996399,368,19158
2002,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,N,0,0,0,0,0
2003,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,N,0,0,0,0,0
2004,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,N,15,0,0,0,0
2005,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,N,16,0,0,0,0
2006,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,N,13,0,0,0,0
2007,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,N,12,0,0,0,0
2008,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,N,12,0,0,0,0
2009,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,N,12,0,0,0,0
2010,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,N,12,0,0,0,0
2011,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,N,12,0,0,0,0
2012,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,N,11,0,0,0,0
2013,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,N,11,0,0,0,0
2014,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,N,11,0,0,0,0
2015,US_national,US000,U.S. TOTAL,7111,Performing arts companies,3,Local Government,16,N,11,0,0,0,0
2016,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,3,Local Government,16,N,12,0,0,0,0
2017,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,3,Local Government,16,,11,353,13343723,727,37783
2018,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,3,Local Government,16,,11,347,14056955,779,40529
2019,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,3,Local Government,16,,14,605,20529772,652,33915
2020,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,3,Local Government,16,,13,373,14881169,767,39905
2021,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,3,Local Government,16,,14,409,16540321,777,40424
2022,US_national,US000,U.S. TOTAL,7111,NAICS 7111 Performing arts companies,3,Local Government,16,,12,545,22381783,790,41061
