SERIALNO,SPORDER,PUMA,ST,ADJINC,PWGTP,AGEP,COW,MAR,SCHL,SEMP,SEX,WAGP,WKHP,WKWN,ESR,HICOV,HISP,OCCP,PERNP,PINCP,PRIVCOV,PUBCOV,RAC1P,occp_label
2021HU1246509,02,04904,48,1193241,21,60,1,1,16,0,1,12000,40,52,1.0,1,01,2905.0,12000,22400,1,2,1,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU1248376,01,02505,48,1193241,11,33,6,1,21,10000,1,0,40,16,3.0,2,19,2752.0,10000,10000,2,2,9,Musicians and Singers
2021HU1248593,01,05304,48,1193241,14,39,6,5,21,90000,1,0,50,40,2.0,1,01,2710.0,90000,90000,1,2,1,Producers and Directors
2021HU1249609,02,07200,48,1193241,13,70,1,1,21,0,1,0,,,6.0,1,01,2634.0,0,13800,2,1,1,Graphic Designers
2021HU1250176,01,02305,48,1193241,63,36,5,1,20,0,2,85000,40,52,1.0,1,02,2850.0,85000,85000,1,2,9,Writers and Authors
2021HU1252707,01,01400,48,1193241,64,48,1,1,19,0,1,96000,40,52,1.0,1,02,2710.0,96000,96000,1,2,9,Producers and Directors
2021HU1253636,02,04902,48,1193241,12,43,1,1,21,0,1,50000,40,52,1.0,1,02,2634.0,50000,50000,1,2,9,Graphic Designers
2021HU1254728,01,06805,48,1193241,48,30,1,1,21,0,2,0,,,6.0,1,02,2740.0,0,0,2,1,1,Dancers and Choreographers
2021HU1254732,01,05304,48,1193241,12,43,4,1,21,0,1,46000,40,52,1.0,1,01,2634.0,46000,46000,1,2,1,Graphic Designers
2021HU1257679,01,05303,48,1193241,22,36,1,1,21,0,2,500,6,2,1.0,1,01,2850.0,500,500,1,2,1,Writers and Authors
2021HU1260653,01,03501,48,1193241,15,27,1,5,16,0,2,5000,40,52,1.0,2,01,2850.0,5000,5000,2,2,2,Writers and Authors
2021HU1260678,02,04501,48,1193241,24,36,6,5,16,1800,1,0,6,4,1.0,2,01,2752.0,1800,1800,2,2,6,Musicians and Singers
2021HU1262580,01,06603,48,1193241,46,38,1,5,16,0,1,25000,35,52,1.0,2,02,2910.0,25000,25000,2,2,9,Photographers
2021HU1263323,02,06500,48,1193241,8,72,2,1,22,0,2,6400,10,36,1.0,1,01,2752.0,6400,18400,2,1,1,Musicians and Singers
2021HU1264495,01,04601,48,1193241,46,59,2,1,19,0,2,15000,20,52,1.0,1,01,2751.0,15000,15000,1,2,1,Music Directors and Composers
2021HU1265174,01,05305,48,1193241,10,47,6,1,22,65000,2,0,32,52,1.0,1,01,2850.0,65000,65000,1,2,1,Writers and Authors
2021HU1265398,02,02102,48,1193241,16,31,2,1,19,0,2,3000,4,12,1.0,1,07,2752.0,3000,3000,1,2,8,Musicians and Singers
2021HU1267713,02,05201,48,1193241,13,74,1,1,20,0,1,0,,,6.0,1,08,2910.0,0,57100,2,1,8,Photographers
2021HU1268102,01,02507,48,1193241,11,45,5,1,21,0,2,65000,40,52,1.0,1,01,2850.0,65000,65000,1,2,1,Writers and Authors
2021HU1269379,02,06701,48,1193241,47,38,8,1,22,0,1,15000,15,4,1.0,1,01,2850.0,15000,27000,1,2,1,Writers and Authors
2021HU1269498,01,05911,48,1193241,18,28,6,5,21,2000,2,0,2,10,3.0,1,01,2850.0,2000,2000,1,2,1,Writers and Authors
2021HU1270333,01,04100,48,1193241,11,54,6,1,22,600,1,0,20,52,1.0,1,01,2850.0,600,600,1,2,1,Writers and Authors
2021HU1273374,03,03308,48,1193241,2,17,5,5,14,0,1,46300,12,52,1.0,1,02,2740.0,46300,47060,1,2,3,Dancers and Choreographers
2021HU1275312,01,04702,48,1193241,62,31,6,5,21,4000,2,0,15,52,1.0,1,01,2850.0,4000,4000,1,2,1,Writers and Authors
2021HU1275765,02,05100,48,1193241,3,63,6,1,19,0,2,0,,,6.0,1,01,2910.0,0,4000,1,2,1,Photographers
2021HU1277133,01,02314,48,1193241,79,52,6,1,01,24000,1,0,40,52,1.0,1,02,2634.0,24000,24000,1,2,9,Graphic Designers
2021HU1277426,02,02313,48,1193241,15,32,7,1,21,0,1,60000,45,52,1.0,1,01,2710.0,60000,60000,1,2,1,Producers and Directors
2021HU1277964,01,02002,48,1193241,6,70,6,1,19,0,1,0,,,6.0,1,01,2710.0,0,27100,2,1,1,Producers and Directors
2021HU1277964,02,02002,48,1193241,6,56,1,1,21,0,2,22000,24,18,1.0,1,01,2905.0,22000,46000,1,2,1,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU1278649,02,04624,48,1193241,25,33,1,5,21,0,1,31500,40,35,1.0,1,01,2634.0,31500,31500,1,2,1,Graphic Designers
2021HU1280314,02,04610,48,1193241,54,31,1,1,16,0,1,0,,,6.0,2,01,2634.0,0,0,2,2,2,Graphic Designers
2021HU1280372,01,02516,48,1193241,158,37,2,1,19,0,2,30000,40,52,1.0,1,01,2710.0,30000,30000,1,2,2,Producers and Directors
2021HU1280372,02,02516,48,1193241,177,36,2,1,21,29000,1,55000,40,52,1.0,1,01,2905.0,84000,84000,1,2,2,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
2021HU1281155,02,00501,48,1193241,33,57,6,1,19,0,1,0,,,6.0,1,01,2752.0,0,20,1,2,1,Musicians and Singers
2021HU1281155,03,00501,48,1193241,70,24,1,5,18,0,1,11700,38,52,1.0,1,01,2710.0,11700,11700,1,2,1,Producers and Directors
2021HU1281753,02,04635,48,1193241,28,26,1,5,21,0,1,64000,40,40,3.0,1,01,2634.0,64000,86000,1,2,1,Graphic Designers
2021HU1282101,02,04616,48,1193241,13,63,1,3,21,0,2,8000,40,48,1.0,1,01,2700.0,8000,11000,1,2,1,Actors
2021HU1283029,02,05401,48,1193241,19,35,1,1,21,0,2,1000,12,15,1.0,1,01,2850.0,1000,1000,1,2,1,Writers and Authors
2021HU1283106,01,02514,48,1193241,17,57,1,1,19,0,1,95000,40,52,1.0,1,02,2905.0,95000,95000,1,2,3,"Other Media and Communication Equipment Workers (broadcast/sound/AV/lighting techs, combined - PUMS does not separately identify 'sound engineering technician')"
