total_awarded_usd,recipient_name,recipient_name_raw,address,city,state,zip,entity_type,awarded_date
1900040.17,"Austin Hawk, LP","Austin Hawk, LP - SVOG",912 Red River St,Austin,TX,78701,Live venue operator or promoter,2021-07-02
1894905.18,Fort Worth Museum of Science and History,Fort Worth Museum of Science and History - SVOG,1600 Gendy Street,Fort Worth,TX,76107,Museum Operator,2021-07-14
1890611.8,SP Bastrop Theatre LP,SP Bastrop Theatre LP - SVOG,335 Cochran Rd,Weatherford,TX,76085,Motion picture theater operator,2021-07-12
1882199.1,Brewster Street Ltd,Brewster Street Ltd - SVOG,615 S Upper Broadway,Corpus Christi,TX,78401,Live venue operator or promoter,2021-07-15
1881487.21,COWBOYS FAR WEST LTD.,COWBOYS FAR WEST LTD. - SVOG,3030 NE Loop 410,San Antonio,TX,78218,Live venue operator or promoter,2021-07-07
1860840,"The Coliseum, Inc.","The Coliseum, Inc. - SVOG",9111 FM 812,Austin,TX,78719,Live venue operator or promoter,2021-10-30
1833291.28,"National American Miss, Inc","National American Miss, Inc - SVOG",6243 Ella Lee Ln.,Huston,TX,77057,Live venue operator or promoter,2021-10-29
1827343.08,Society for the Performing Arts,Society for the Performing Arts - SVOG,615 Louisiana Street Suite 100,Houston,TX,77002,Live performing arts organization operator,2021-06-29
1802587.73,"1720 Main Operator, LLC","1720 Main Operator, LLC - SVOG",1720 Main St.,Houston,TX,77022,Live venue operator or promoter,2021-09-02
1778474,Bell County Expo Center,Bell County Expo Center - SVOG,301 W Loop 121,Belton,TX,76513,Live venue operator or promoter,2021-07-28
1748956,"Sulphur Springs Theatre, LLC (DBA Brightstar Cinemas)","Sulphur Springs Theatre, LLC (DBA Brightstar Cinemas) - SVOG",12400 Coit Rd. Ste 800,Dallas,TX,75251,Motion picture theater operator,2021-07-16
1710401.96,SMBG Corsicana LLC,SMBG Corsicana LLC - SVOG,3501 Corsicana Crossing Blvd,Corsicana,TX,75109,Motion picture theater operator,2021-07-16
1707032.48,TREE FITTY GROUP LLC,TREE FITTY GROUP LLC - SVOG,2709 Elm Street,Dallas,TX,75226,Live venue operator or promoter,2021-07-20
1694786.03,Antone's Holdings LLC,Antone's Holdings LLC - SVOG,305 E 5th Street,Austin,TX,78701,Live venue operator or promoter,2021-07-09
