total_awarded_usd,recipient_name,recipient_name_raw,address,city,state,zip,entity_type,awarded_date
749500,"Old Settler's Music Festival, Inc","Old Settler's Music Festival, Inc - SVOG",1616 FM 3158,Dale,TX,78616,Live venue operator or promoter,2021-07-09
734279.16,"Georgetown Palace Theatre, Inc","Georgetown Palace Theatre, Inc - SVOG",810 S Austin Ave,Georgetown,TX,78626,Live performing arts organization operator,2021-08-05
726616.9,"HRA Systems, Inc","HRA Systems, Inc - SVOG",1320 South Lamar,Austin,TX,78704,Live venue operator or promoter,2021-07-02
698438.13,Austin Lyric Opera,Austin Lyric Opera - SVOG,3009 Industrial Terrace #100,Austin,TX,78758,Theatrical producer,2021-07-02
664150.35,Avanator Group Inc,Avanator Group Inc - SVOG,"1700 Grand Avenue Pkwy, Suite 240",Pflugerville,TX,78660,Live venue operator or promoter,2021-08-05
652939.65,Dahlia Ltd dba C-Boy's Heart & Soul,Dahlia Ltd dba C-Boy's Heart & Soul - SVOG,2008 S. Congress Ave,Austin,TX,78746,Live venue operator or promoter,2021-07-07
650702.26,"El Leon's East, LLC","El Leon's East, LLC - SVOG",1910 E. Cesar Chavez St.,Austin,TX,78702,Live venue operator or promoter,2021-06-28
641502,"Constant Saturday, LLC","Constant Saturday, LLC - SVOG",2015 E Riverside Dr. Building #4,Austin,TX,78741,Live venue operator or promoter,2021-06-16
612463.93,"Greg Williams Entertainment, LLC","Greg Williams Entertainment, LLC - SVOG",1304 Oxford Ave,Austin,TX,78704,Talent representative,2022-04-04
607274.56,STS Warehouse LLC,STS Warehouse LLC - SVOG,211 W. 4th St,Austin,TX,78701,Live venue operator or promoter,2021-08-26
603345.41,"BlancoNegro, LLC DBA The North Door","BlancoNegro, LLC DBA The North Door - SVOG",501 N IH 35,Austin,TX,78702,Live venue operator or promoter,2021-06-13
601715.23,HANOVERS 2.0 LLC,HANOVERS 2.0 LLC - SVOG,16912 N Interstate 35,Austin,TX,78727,Live venue operator or promoter,2021-07-15
576887.4,RealMusic Events LLC,RealMusic Events LLC - SVOG,2912 Garwood Street Suite A,Austin,TX,78702,Live venue operator or promoter,2021-06-16
568954.88,"Splendid Sun Produtions, LLC","Splendid Sun Produtions, LLC - SVOG",2205 E 21st Street,Austin,TX,78722,Live venue operator or promoter,2021-06-08
568105.2,French Smith DBA Roadway Productions,French Smith DBA Roadway Productions - SVOG,12305 Twin Creek Dr.,Manchaca,TX,78652,Live venue operator or promoter,2021-06-30
564840.5,Parker Jazz Inc,Parker Jazz Inc - SVOG,117 W 4th Street STE 107B,Austin,TX,78701,Live venue operator or promoter,2021-06-28
553507.08,Film Society of Austin Theater LLC,Film Society of Austin Theater LLC - SVOG,1901 E 51st St,Austin,TX,78723,Motion picture theater operator,2021-06-18
538105.09,"Rainmaker Entertainment Group, LLC","Rainmaker Entertainment Group, LLC - SVOG",PO BOX 342229,Lakeway,TX,78734,Talent representative,2021-06-21
531349,Sunset Room LLC,Sunset Room LLC - SVOG,310 East 3rd St.,Austin,TX,78701,Live venue operator or promoter,2021-07-15
526495.31,Blanton Museum of Art,Blanton Museum of Art - SVOG,"200 E. Martin Luther King Jr. Blvd., Stop D1303",Austin,TX,78712,Museum Operator,2021-07-27
521210.25,Moontime LLC dba The Hole in the Wall,Moontime LLC dba The Hole in the Wall - SVOG,2538 Guadalupe Street,Austin,TX,78705,Live venue operator or promoter,2021-08-26
520604.03,ALT VISION INCORPORATED,ALT VISION INCORPORATED - SVOG,1110 South Lamar Boulevard STE 1466,Austin,TX,78704,Talent representative,2021-06-21
507564.97,Hooms Inc.,Hooms Inc. - SVOG,208 E 6th Street,Austin,TX,78701,Live venue operator or promoter,2021-08-09
504910.15,VORTEX Repertory Company,VORTEX Repertory Company - SVOG,2307 Manor Rd,Austin,TX,78722,Live venue operator or promoter,2021-07-16
504324.36,Levitation Partners LLC,Levitation Partners LLC - SVOG,2307 East 13th Street,Austin,TX,78702,Live venue operator or promoter,2021-07-14
483705.84,sharon burke,sharon burke - SVOG,22308 Highway 71 W,Spicewood,TX,78669,Live venue operator or promoter,2021-07-28
476853.55,Bucks Backyard LLC,Bucks Backyard LLC - SVOG,1750 S FM 1626,Buda,TX,78610,Live venue operator or promoter,2021-07-13
466598.81,Seismic Dance Event LLC,Seismic Dance Event LLC - SVOG,2912 Garwood Street Suite A,Austin,TX,78702,Live venue operator or promoter,2021-07-03
430363.13,"The Parish Austin, LLC","The Parish Austin, LLC - SVOG",214 E 6th St,Austin,TX,78701,Live venue operator or promoter,2021-06-19
429703.73,"EMO NIGHT BROOKLYN, LLC","EMO NIGHT BROOKLYN, LLC - SVOG","1700 E 4TH ST, APT 2261",AUSTIN,TX,78702,Live venue operator or promoter,2021-06-14
416739.48,Dei Gratia Inc,Dei Gratia Inc - SVOG,705 Red River St,Austin,TX,78701,Live venue operator or promoter,2021-07-07
